price,PoolArea,GarageCars,Fireplaces,TotRmsAbvGrd,Baths,SqFeet,CentralAir,Age,LotSize,BldgType,HouseStyle,condition
208.5,0,2,0,8,3,1710,2,5,8450,1,6,5
140,0,3,1,7,1,1717,2,91,9550,1,6,5
250,0,3,1,9,3,2198,2,8,14260,1,6,5
143,0,2,0,5,2,1362,2,16,14115,1,1,5
307,0,2,1,7,2,1694,2,3,10084,1,3,5
129.9,0,2,2,8,2,1774,2,77,6120,1,1,5
118,0,1,2,5,1,1077,2,69,7420,2,2,6
129.5,0,1,0,5,1,1040,2,43,11200,1,3,5
345,0,3,2,11,3,2324,2,1,11924,1,6,5
144,0,1,0,4,1,912,2,46,12968,1,3,6
279.5,0,3,1,7,2,1494,2,1,10652,1,3,5
157,0,1,1,5,2,1253,2,48,10920,1,3,5
132,0,2,0,5,1,854,2,78,6120,1,2,8
90,0,2,0,6,2,1296,2,39,10791,3,3,5
159,0,2,0,6,2,1114,2,4,13695,1,3,5
139,0,1,0,6,1,1339,2,51,7560,1,3,6
325.3,0,3,1,9,4,2376,2,1,14215,1,6,5
139.4,0,1,1,6,1,1108,2,77,7449,1,2,7
230,0,2,1,7,2,1795,2,6,9742,1,3,5
129.9,0,2,1,6,1,1060,2,31,4224,5,3,7
256.3,0,3,1,7,2,1600,2,2,14230,1,3,5
207.5,0,1,2,6,1,1600,2,49,16321,1,3,6
68.5,0,1,0,4,1,520,1,81,6324,1,3,6
40,0,1,0,6,1,1317,1,88,8500,1,6,4
149.35,0,1,0,6,2,1228,2,42,8544,1,3,6
179.9,0,2,0,7,2,1234,2,1,11049,1,3,5
165.5,0,2,1,6,2,1700,2,51,10552,1,3,5
277.5,0,2,1,6,2,1561,2,2,7313,5,3,5
309,0,3,1,9,4,2452,2,2,13418,1,6,5
145,0,2,0,6,2,1097,2,15,10859,1,3,5
153,0,2,1,5,1,1297,2,55,8532,1,3,6
109,0,1,0,5,1,1057,2,57,7922,1,3,7
82,0,0,0,6,2,1152,1,53,6040,3,3,5
160,0,2,1,6,2,1324,2,41,8658,1,3,5
170,0,1,2,5,2,1328,2,48,16905,1,3,6
130.25,0,1,0,5,1,938,2,33,9200,1,3,6
141,0,1,0,6,1,1150,2,47,7945,1,3,6
319.9,0,2,1,6,2,1752,2,5,7658,5,3,5
239.686,0,2,1,6,2,2149,2,6,12822,1,1,5
249.7,0,3,0,7,2,1656,2,1,11096,1,3,5
113,0,0,0,8,2,1452,2,89,4456,2,6,5
127,0,1,0,6,1,955,2,41,7742,1,3,7
114.5,0,2,1,6,1,1176,2,72,6240,1,1,6
110,0,2,0,5,1,816,1,47,8472,3,3,5
130,0,2,1,6,1,1360,2,52,7134,1,8,5
180.5,0,2,1,7,2,1425,2,44,10175,1,3,5
172.5,0,2,0,7,3,1739,2,10,2645,4,6,5
438.78,0,3,1,10,4,2945,2,0,13682,1,6,5
